dateIDd,Weekday,Holiday,Duration,Volume
20190726,1,0,805.4978173463527,34820
20190727,0,0,923.6277606615859,30835
20190728,0,0,917.5281866922862,32267
20190729,1,0,801.5659653983698,31039
20190730,1,0,765.5753934285902,30374
20190731,1,0,795.0468537666175,33850
20190801,1,0,809.231826228679,35587
20190802,1,0,833.7732345198581,34948
20190803,0,0,913.0816093880973,29825
20190804,0,0,942.8257700770077,29088
20190805,1,0,829.7562694490207,32778
20190806,1,0,792.3987245209325,32772
20190807,1,0,759.5674815865002,28919
20190808,1,0,797.6298773326373,30652
20190809,1,0,778.6810776310928,29769
20190810,0,0,861.5748419721871,23730
20190811,0,0,901.7139578630549,26580
20190812,1,0,769.6957927541878,25670
20190813,1,0,805.9490507015207,32287
20190814,1,0,799.4455054129668,32884
20190815,1,0,815.7094986730439,34289
20190816,1,0,818.9598305492128,33284
20190817,0,0,875.4827062530848,26339
20190818,0,0,882.8111642504857,26764
20190819,1,0,789.1152278621712,29689
20190820,1,0,811.2083835858215,33995
20190821,1,0,763.6082707289928,28752
20190822,1,0,802.2488342898134,33456
20190823,1,0,800.6264625073318,32393
20190824,0,0,879.26056594166,27494
20190825,0,0,931.457827742089,33624
20190826,1,0,816.6957318421635,31653
20190827,1,0,806.7695435114048,33451
20190828,1,0,679.1985714285714,16800
20190829,1,0,796.647152183027,33394
20190830,1,0,794.4275457149931,28273
20190831,0,0,880.1628865979382,25705
20190901,0,0,929.7576307041402,26472
20190902,1,1,766.2489157372986,12912
20190903,1,0,770.4374899951977,31235
20190904,1,0,725.840664255435,25713
20190905,1,0,768.475539938812,33013
20190906,1,0,762.3048066019907,31748
20190907,0,0,770.1346370604148,17744
20190908,0,0,787.5074552436045,20053
20190909,1,0,747.5956158368157,28238
20190910,1,0,710.126096033403,23950
20190911,1,0,728.6282839773899,28129
20190912,1,0,750.6720621768314,31137
20190913,1,0,765.1382643957827,30825
20190914,0,0,796.6470285205826,21353
20190915,0,0,813.0270463651975,20964
20190916,1,0,755.2444295349412,28319
20190917,1,0,754.5830527497194,30294
20190918,1,0,740.48940397351,30200
20190919,1,0,751.1531607154387,30974
20190920,1,0,765.7730352732569,31582
20190921,0,0,877.0516184229289,28052
20190922,0,0,826.6880140752145,22735
20190923,1,0,668.1758596566755,18583
20190924,1,0,690.0226878025348,27063
20190925,1,0,728.7420177461049,28626
20190926,1,0,683.9871901977165,21546
20190927,1,0,855.0718274600424,36351
20190928,0,0,696.9957200780898,13318
20190929,0,0,854.7437881206763,24429
20190930,1,0,688.8993169116125,24155
20191001,1,0,634.0007865345289,12714
20191002,1,0,672.9625141515368,23849
20191003,1,0,661.423153874136,21992
20191004,1,0,680.6187482537022,21474
20191005,0,0,755.4299715099716,17550
20191006,0,0,676.9125851559699,13945
20191007,1,0,653.8670050140638,16354
20191008,1,0,711.808947430877,25281
20191009,1,0,694.5879413724184,24016
20191010,1,0,702.523366743147,24843
20191011,1,0,723.766433509224,24447
20191012,0,0,789.6646315140302,16215
20191013,0,0,822.2664537541486,15969
20191014,1,1,708.5621494187465,12301
20191015,1,0,683.920828857859,22344
20191016,1,0,675.9452605459057,20150
20191017,1,0,535.3055391287206,5073
20191018,1,0,656.3962775663417,19181
20191019,0,0,747.5382720610875,16239
20191020,0,0,730.3681719137426,13309
20191021,1,0,692.6391834446677,21407
20191022,1,0,665.1210316278516,16789
20191023,1,0,697.434942991281,20874
20191024,1,0,661.8555493015402,19543
20191025,1,0,661.7001693395756,20078
20191026,0,0,761.7968085761814,16231
20191027,0,0,605.6944794555079,3967
20191028,1,0,678.8905578168893,17443
20191029,1,0,707.829809573808,20953
20191030,1,0,669.1154959475106,20728
20191031,1,0,626.2507625272331,9180
20200415,1,0,895.824427480916,2227
20200416,1,0,830.761789013126,2057
20200417,1,0,894.339430894309,2460
20200418,0,0,1150.6515828677839,5370
20200419,0,0,1053.064803804994,1682
20200420,1,0,996.446321809202,3847
20200421,1,0,774.3735211267606,1775
20200422,1,0,714.2673611111111,1728
20200423,1,0,944.3207077688693,3617
20200424,1,0,974.7000928505107,4308
20200425,0,0,1225.3748593292821,8886
20200426,0,0,1173.5188165066181,3853
